dataset,faith_shap_k5,faith_ig_k5,faith_shap_k10,faith_ig_k10,ris,ris_std,fa_k5,sra_k5,fa_k10,sra_k10,top5_overlap
german_credit,0.1451999992132187,0.169400006532669,0.1664000004529953,0.1772000044584274,0.942799985408783,0.0515000000596046,0.562,0.562,0.553,0.533,3
heloc,0.2737999856472015,0.4079000055789947,0.3711999952793121,0.4232999980449676,0.8884000182151794,0.0617999993264675,0.474,0.306,0.634,0.377,3
adult,0.3486000001430511,0.3698999881744385,0.3747999966144562,0.3239000141620636,0.7986000180244446,0.1088000014424324,0.538,0.51,0.583,0.544,2
gmsc,0.35989999771118164,0.36239999532699585,0.3621000051498413,0.3621000051498413,0.9100000262260437,0.09690000116825104,0.634,0.476,1.0,0.349,4
